gene	source
CHD8	ASD_Ruzzo
SCN2A	ASD_Ruzzo
NRXN1	ASD_Ruzzo
ARID1B	ASD_Ruzzo
SYNGAP1	ASD_Ruzzo
DYRK1A	ASD_Ruzzo
KMT5B	ASD_Ruzzo
ANK2	ASD_Ruzzo
CHD2	ASD_Ruzzo
ADNP	ASD_Ruzzo
KDM5B	ASD_Ruzzo
POGZ	ASD_Ruzzo
PTEN	ASD_Ruzzo
TBR1	ASD_Ruzzo
DSCAM	ASD_Ruzzo
GRIN2B	ASD_Ruzzo
TRIP12	ASD_Ruzzo
SHANK2	ASD_Ruzzo
SHANK3	ASD_Ruzzo
KMT2C	ASD_Ruzzo
CUL3	ASD_Ruzzo
TCF7L2	ASD_Ruzzo
GIGYF1	ASD_Ruzzo
KATNAL2	ASD_Ruzzo
ASH1L	ASD_Ruzzo
SETD5	ASD_Ruzzo
WAC	ASD_Ruzzo
CMPK2	ASD_Ruzzo
NCKAP1	ASD_Ruzzo
TNRC6B	ASD_Ruzzo
AKAP9	ASD_Ruzzo
RANBP17	ASD_Ruzzo
ILF2	ASD_Ruzzo
KDM6B	ASD_Ruzzo
PRKAR1B	ASD_Ruzzo
MYT1L	ASD_Ruzzo
GRIA1	ASD_Ruzzo
RAPGEF4	ASD_Ruzzo
DNMT3A	ASD_Ruzzo
DDX3X	ASD_Ruzzo
CAPN12	ASD_Ruzzo
FOXP1	ASD_Ruzzo
ZNF559	ASD_Ruzzo
SLC6A1	ASD_Ruzzo
SPAST	ASD_Ruzzo
USP45	ASD_Ruzzo
WDFY3	ASD_Ruzzo
PHF2	ASD_Ruzzo
SMURF1	ASD_Ruzzo
CTTNBP2	ASD_Ruzzo
TSPAN4	ASD_Ruzzo
BCL11A	ASD_Ruzzo
FAM98C	ASD_Ruzzo
MLANA	ASD_Ruzzo
MYO5A	ASD_Ruzzo
P2RX5	ASD_Ruzzo
CACNA2D3	ASD_Ruzzo
MFRP	ASD_Ruzzo
UIMC1	ASD_Ruzzo
PCM1	ASD_Ruzzo
INTS6	ASD_Ruzzo
ETFB	ASD_Ruzzo
TMEM39B	ASD_Ruzzo
GABRB3	ASD_Ruzzo
ERBIN	ASD_Ruzzo
CCSER1	ASD_Ruzzo
KMT2E	ASD_Ruzzo
C16orf13	ASD_Ruzzo
BTRC	ASD_Ruzzo
CHD8	ASD_Sanders
SCN2A	ASD_Sanders
ARID1B	ASD_Sanders
NRXN1	ASD_Sanders
SYNGAP1	ASD_Sanders
DYRK1A	ASD_Sanders
CHD2	ASD_Sanders
ANK2	ASD_Sanders
KDM5B	ASD_Sanders
ADNP	ASD_Sanders
POGZ	ASD_Sanders
SUV420H1	ASD_Sanders
SHANK2	ASD_Sanders
TBR1	ASD_Sanders
GRIN2B	ASD_Sanders
DSCAM	ASD_Sanders
KMT2C	ASD_Sanders
PTEN	ASD_Sanders
SHANK3	ASD_Sanders
TCF7L2	ASD_Sanders
TRIP12	ASD_Sanders
SETD5	ASD_Sanders
TNRC6B	ASD_Sanders
ASH1L	ASD_Sanders
CUL3	ASD_Sanders
KATNAL2	ASD_Sanders
WAC	ASD_Sanders
NCKAP1	ASD_Sanders
RANBP17	ASD_Sanders
KDM6B	ASD_Sanders
ILF2	ASD_Sanders
DNMT3A	ASD_Sanders
GIGYF1	ASD_Sanders
WDFY3	ASD_Sanders
SPAST	ASD_Sanders
KAT2B	ASD_Sanders
MYT1L	ASD_Sanders
SLC6A1	ASD_Sanders
PHF2	ASD_Sanders
ZNF559	ASD_Sanders
BCL11A	ASD_Sanders
MFRP	ASD_Sanders
FOXP1	ASD_Sanders
GABRB3	ASD_Sanders
MIB1	ASD_Sanders
P2RX5	ASD_Sanders
TRIO	ASD_Sanders
KMT2E	ASD_Sanders
ETFB	ASD_Sanders
NINL	ASD_Sanders
CTTNBP2	ASD_Sanders
INTS6	ASD_Sanders
USP45	ASD_Sanders
CAPN12	ASD_Sanders
OR52M1	ASD_Sanders
DIP2A	ASD_Sanders
AKAP9	ASD_Sanders
NAA15	ASD_Sanders
APH1A	ASD_Sanders
IRF2BPL	ASD_Sanders
ACHE	ASD_Sanders
NLGN3	ASD_Sanders
MBD5	ASD_Sanders
PTK7	ASD_Sanders
ERBB2IP	ASD_Sanders
CHD8	ASD_Satterstrom
SCN2A	ASD_Satterstrom
SYNGAP1	ASD_Satterstrom
ADNP	ASD_Satterstrom
FOXP1	ASD_Satterstrom
POGZ	ASD_Satterstrom
ARID1B	ASD_Satterstrom
SUV420H1	ASD_Satterstrom
DYRK1A	ASD_Satterstrom
SLC6A1	ASD_Satterstrom
GRIN2B	ASD_Satterstrom
PTEN	ASD_Satterstrom
SHANK3	ASD_Satterstrom
MED13L	ASD_Satterstrom
GIGYF1	ASD_Satterstrom
CHD2	ASD_Satterstrom
ANKRD11	ASD_Satterstrom
ANK2	ASD_Satterstrom
ASH1L	ASD_Satterstrom
TLK2	ASD_Satterstrom
CTNNB1	ASD_Satterstrom
